R ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
178,0.173,0.559,0.368,0.474,0.466,160.968,0.406,178,1.017,0.983,0.939
179,0.174,0.559,0.37,0.474,0.468,152.001,0.429,179,1.012,0.989,0.949
180,0.176,0.56,0.374,0.476,0.47,115.25,0.449,180,1.014,0.987,0.949
181,0.176,0.559,0.379,0.477,0.47,96.135,0.45,181,1.015,0.985,0.944
182,0.177,0.561,0.378,0.48,0.469,88.016,0.444,182,1.024,0.977,0.946
183,0.175,0.559,0.374,0.477,0.468,96.351,0.439,183,1.018,0.982,0.942
184,0.173,0.559,0.372,0.471,0.468,129.256,0.459,184,1.005,0.995,0.936
185,0.173,0.561,0.366,0.472,0.468,133.503,0.412,185,1.009,0.991,0.937
186,0.173,0.56,0.368,0.472,0.466,4.4,0.441,186,1.013,0.987,0.941
187,0.175,0.559,0.371,0.474,0.471,113.932,0.457,187,1.006,0.994,0.945
188,0.176,0.561,0.375,0.482,0.465,99.257,0.463,188,1.035,0.966,0.942
189,0.177,0.56,0.379,0.484,0.466,88.904,0.446,189,1.04,0.962,0.931
190,0.178,0.558,0.378,0.485,0.467,86.125,0.42,190,1.04,0.962,0.928
191,0.176,0.56,0.375,0.478,0.469,89.609,0.43,191,1.021,0.98,0.942
192,0.174,0.56,0.371,0.472,0.47,65.653,0.431,192,1.003,0.997,0.941
193,0.174,0.56,0.369,0.473,0.468,173.603,0.453,193,1.012,0.988,0.943
194,0.174,0.561,0.371,0.474,0.468,162.786,0.436,194,1.013,0.987,0.943
195,0.176,0.561,0.373,0.476,0.47,99.903,0.386,195,1.012,0.988,0.931
196,0.176,0.562,0.379,0.478,0.469,92.504,0.413,196,1.02,0.98,0.929
197,0.177,0.56,0.379,0.483,0.466,92.294,0.425,197,1.036,0.965,0.945
198,0.176,0.56,0.378,0.48,0.468,89.994,0.489,198,1.027,0.974,0.951
199,0.175,0.559,0.374,0.476,0.468,75.414,0.422,199,1.017,0.983,0.941
200,0.173,0.559,0.371,0.472,0.468,29.231,0.434,200,1.009,0.991,0.94
201,0.174,0.562,0.369,0.474,0.468,161.099,0.44,201,1.012,0.988,0.941
202,0.176,0.558,0.366,0.474,0.471,80.755,0.36,202,1.006,0.994,0.926
203,0.176,0.559,0.371,0.479,0.469,93.814,0.35,203,1.021,0.979,0.93
204,0.176,0.558,0.378,0.48,0.468,76.467,0.444,204,1.026,0.974,0.941
205,0.176,0.557,0.379,0.481,0.467,85.219,0.477,205,1.03,0.971,0.939
206,0.175,0.559,0.379,0.476,0.468,91.942,0.489,206,1.018,0.982,0.935
207,0.174,0.558,0.371,0.472,0.469,31.459,0.448,207,1.007,0.993,0.922
208,0.173,0.558,0.369,0.473,0.464,0.815,0.441,208,1.018,0.982,0.936
209,0.174,0.557,0.366,0.473,0.468,152.15,0.377,209,1.009,0.991,0.917
210,0.175,0.558,0.371,0.474,0.469,134.249,0.419,210,1.012,0.988,0.937
211,0.175,0.557,0.376,0.475,0.469,113.595,0.468,211,1.013,0.987,0.95
212,0.176,0.556,0.377,0.48,0.468,98.018,0.469,212,1.027,0.974,0.945
213,0.175,0.557,0.381,0.476,0.468,95.975,0.519,213,1.017,0.983,0.953
214,0.174,0.558,0.379,0.474,0.468,104.111,0.511,214,1.011,0.989,0.952
215,0.173,0.556,0.373,0.471,0.467,162.796,0.451,215,1.01,0.99,0.947
216,0.174,0.555,0.366,0.474,0.468,22.086,0.441,216,1.015,0.986,0.932
217,0.175,0.555,0.365,0.474,0.469,38.628,0.385,217,1.011,0.989,0.924
218,0.175,0.558,0.37,0.476,0.468,96.855,0.397,218,1.016,0.984,0.941
219,0.177,0.559,0.372,0.482,0.468,86.404,0.41,219,1.031,0.97,0.943
220,0.177,0.559,0.376,0.484,0.466,89.455,0.415,220,1.039,0.963,0.945
221,0.175,0.56,0.378,0.477,0.466,97.433,0.481,221,1.023,0.977,0.944
222,0.174,0.561,0.373,0.475,0.467,90.549,0.473,222,1.016,0.984,0.944
223,0.174,0.563,0.368,0.472,0.469,130.901,0.412,223,1.006,0.995,0.939
224,0.174,0.563,0.365,0.472,0.469,163.927,0.39,224,1.007,0.993,0.938
225,0.174,0.564,0.368,0.473,0.469,161.193,0.431,225,1.008,0.992,0.94
226,0.175,0.565,0.374,0.475,0.47,98.299,0.464,226,1.011,0.989,0.942
227,0.176,0.565,0.376,0.479,0.468,96.341,0.428,227,1.023,0.977,0.94
228,0.177,0.566,0.377,0.483,0.467,89.19,0.433,228,1.035,0.966,0.94
229,0.175,0.564,0.376,0.479,0.467,84.82,0.448,229,1.025,0.975,0.947
230,0.175,0.562,0.37,0.475,0.468,81.775,0.377,230,1.017,0.984,0.929
231,0.174,0.562,0.368,0.472,0.47,67.72,0.388,231,1.004,0.996,0.935
232,0.175,0.56,0.368,0.473,0.471,44.854,0.442,232,1.004,0.996,0.948
233,0.175,0.559,0.372,0.473,0.472,129.668,0.45,233,1.002,0.998,0.933
234,0.176,0.559,0.377,0.477,0.471,83.947,0.47,234,1.012,0.988,0.933
235,0.176,0.557,0.379,0.478,0.469,89.889,0.459,235,1.02,0.98,0.946
236,0.176,0.557,0.379,0.478,0.469,95.727,0.486,236,1.02,0.98,0.952
237,0.174,0.558,0.378,0.474,0.468,110.34,0.531,237,1.012,0.989,0.954
238,0.173,0.555,0.371,0.472,0.466,166.58,0.533,238,1.012,0.989,0.95
239,0.173,0.556,0.371,0.475,0.463,171.669,0.519,239,1.025,0.976,0.951
240,0.173,0.556,0.371,0.473,0.465,176.54,0.512,240,1.017,0.984,0.949
241,0.167,0.561,0.334,0.502,0.424,176.136,0.45,241,1.185,0.844,0.951
