R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
23,0.265331,-0.018493,1.126883,-0.018273,1.116629,0.623025,0.542241,92.888331,0.901907,23,1.148981,0.870336,0.986132
24,0.250222,-0.017068,1.164863,-0.018034,1.153298,0.570742,0.558209,150.636537,0.903168,24,1.022452,0.978041,0.985218
25,0.238629,-0.018098,1.205273,-0.019172,1.192037,0.593219,0.512174,177.819092,0.889994,25,1.158238,0.863381,0.984048
26,0.242166,-0.017104,1.232591,-0.017383,1.224589,0.584142,0.527843,179.181159,0.897705,26,1.106659,0.903621,0.984780
27,0.258279,-0.015308,1.270927,-0.015558,1.260285,0.592364,0.555149,91.389621,0.903146,27,1.067036,0.937175,0.985930
28,0.266746,-0.015544,1.307550,-0.016028,1.297282,0.629015,0.539941,91.713045,0.897773,28,1.164970,0.858391,0.986204
29,0.259945,-0.015777,1.333595,-0.016182,1.328047,0.600998,0.550704,95.444302,0.899877,29,1.091327,0.916315,0.985507
30,0.243262,-0.014232,1.369892,-0.015464,1.360227,0.579000,0.534940,174.790988,0.900631,30,1.082365,0.923903,0.984893
31,0.237145,-0.014137,1.402877,-0.014756,1.394236,0.593700,0.508578,178.536782,0.897155,31,1.167373,0.856624,0.985302
32,0.247598,-0.014437,1.426941,-0.014228,1.422301,0.571872,0.551262,0.005857,0.908387,32,1.037386,0.963962,0.986811
33,0.262501,-0.013529,1.461779,-0.013958,1.454194,0.610792,0.547201,91.458728,0.897056,33,1.116212,0.895888,0.985773
34,0.264646,-0.013217,1.490865,-0.013815,1.483192,0.621987,0.541744,92.843782,0.899580,34,1.148121,0.870988,0.986096
35,0.252550,-0.013268,1.514832,-0.014712,1.510187,0.573817,0.560382,111.766476,0.903885,35,1.023975,0.976587,0.985616
36,0.238994,-0.012915,1.547408,-0.013321,1.539217,0.587193,0.518222,178.204479,0.887525,36,1.133093,0.882540,0.982871
37,0.238788,-0.012794,1.572804,-0.012290,1.566489,0.586702,0.518210,179.797144,0.894443,37,1.132171,0.883259,0.984846
38,0.253737,-0.012593,1.596310,-0.012431,1.594615,0.577201,0.559715,91.154677,0.908133,38,1.031240,0.969707,0.986294
39,0.263938,-0.012573,1.626697,-0.013162,1.621000,0.619655,0.542329,91.982722,0.901970,39,1.142580,0.875212,0.986733
40,0.260196,-0.012890,1.649309,-0.012595,1.643437,0.604202,0.548312,94.189169,0.899652,40,1.101930,0.907499,0.985138
41,0.245589,-0.012368,1.671781,-0.013490,1.667192,0.573223,0.545502,173.104308,0.904885,41,1.050818,0.951639,0.985485
42,0.236598,-0.012692,1.700695,-0.013940,1.694271,0.589607,0.510926,179.417702,0.896695,42,1.153996,0.866554,0.985831
