R ,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
145,0.574900,-1.460617,1.255840,-1.460617,1.255840,0.910272,0.804139,88.961272,0.877770,145,1.131984,0.883404,0.987084
146,0.556099,-1.479070,1.264156,-1.479070,1.264156,0.850306,0.832697,91.983962,0.871612,146,1.021147,0.979291,0.986917
147,0.534981,-1.498014,1.271700,-1.498014,1.271700,0.861048,0.791082,178.715161,0.893319,147,1.088443,0.918743,0.987886
148,0.525825,-1.516195,1.283925,-1.516195,1.283925,0.868331,0.771020,179.686225,0.882274,148,1.126211,0.887933,0.986603
149,0.525662,-1.534459,1.292404,-1.534459,1.292404,0.857380,0.780627,0.879126,0.889766,149,1.098323,0.910479,0.987437
150,0.539154,-1.551475,1.293607,-1.551475,1.293607,0.831422,0.825660,36.823957,0.894313,150,1.006979,0.993070,0.986930
151,0.557050,-1.569037,1.294319,-1.569037,1.294319,0.889338,0.797512,87.776404,0.881989,151,1.115140,0.896748,0.986291
152,0.567366,-1.586877,1.298560,-1.586877,1.298560,0.921352,0.784057,88.082321,0.879880,152,1.175108,0.850986,0.987074
153,0.571956,-1.604855,1.301094,-1.604855,1.301094,0.926537,0.785976,88.436523,0.871682,153,1.178836,0.848294,0.987453
154,0.567551,-1.622551,1.300424,-1.622551,1.300424,0.898583,0.804187,88.485405,0.882214,154,1.117381,0.894950,0.987078
155,0.549586,-1.640163,1.292202,-1.640163,1.292202,0.842848,0.830226,87.054716,0.880415,155,1.015202,0.985025,0.986826
156,0.529881,-1.657668,1.285453,-1.657668,1.285453,0.855759,0.788383,0.462353,0.868098,156,1.085461,0.921268,0.986705
157,0.521119,-1.674579,1.280484,-1.674617,1.280481,0.862172,0.769578,0.922074,0.879810,157,1.120317,0.892604,0.986203
158,0.521652,-1.691576,1.274423,-1.691576,1.274423,0.848688,0.782605,3.496101,0.882978,158,1.084439,0.922136,0.987104
159,0.535630,-1.707844,1.260838,-1.707844,1.260838,0.834014,0.817715,71.923562,0.889536,159,1.019933,0.980457,0.987246
