 ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
170,0.136,0.832,0.362,0.419,0.413,21.798,0.319,170,1.014,0.986,0.942
171,0.137,0.831,0.364,0.419,0.415,41.51,0.348,171,1.01,0.99,0.938
172,0.137,0.833,0.365,0.42,0.415,36.58,0.363,172,1.011,0.989,0.938
173,0.136,0.832,0.364,0.419,0.412,15.862,0.368,173,1.017,0.983,0.941
174,0.135,0.83,0.361,0.419,0.41,4.858,0.311,174,1.02,0.981,0.937
175,0.136,0.827,0.359,0.421,0.41,179.313,0.314,175,1.028,0.973,0.935
176,0.135,0.826,0.36,0.419,0.412,177.184,0.358,176,1.017,0.983,0.941
177,0.136,0.825,0.363,0.418,0.416,116.181,0.313,177,1.006,0.994,0.933
178,0.137,0.823,0.364,0.42,0.414,138.111,0.342,178,1.016,0.984,0.935
179,0.137,0.822,0.363,0.42,0.415,144.926,0.346,179,1.013,0.988,0.938
180,0.136,0.819,0.361,0.42,0.412,153.394,0.343,180,1.018,0.982,0.936
181,0.136,0.818,0.361,0.422,0.409,165.268,0.382,181,1.031,0.97,0.941
182,0.135,0.819,0.361,0.421,0.409,167.671,0.332,182,1.029,0.972,0.935
183,0.136,0.818,0.36,0.421,0.412,167.774,0.325,183,1.02,0.98,0.939
184,0.138,0.82,0.364,0.421,0.416,113.765,0.369,184,1.012,0.988,0.942
185,0.137,0.822,0.364,0.42,0.416,101.94,0.339,185,1.008,0.992,0.937
186,0.137,0.823,0.363,0.418,0.417,116.579,0.361,186,1.001,0.999,0.937
187,0.136,0.825,0.362,0.419,0.412,0.963,0.345,187,1.018,0.983,0.942
188,0.136,0.827,0.361,0.421,0.41,179.804,0.374,188,1.025,0.976,0.936
189,0.135,0.828,0.362,0.419,0.411,179.813,0.329,189,1.02,0.98,0.931
190,0.136,0.831,0.364,0.421,0.412,9.509,0.305,190,1.023,0.978,0.938
191,0.136,0.833,0.364,0.418,0.415,18.726,0.382,191,1.009,0.991,0.941
192,0.136,0.832,0.364,0.418,0.415,59.258,0.388,192,1.006,0.994,0.945
193,0.136,0.832,0.364,0.418,0.414,9.703,0.373,193,1.008,0.992,0.946
194,0.135,0.832,0.362,0.421,0.409,177.513,0.351,194,1.028,0.973,0.937
195,0.134,0.832,0.361,0.42,0.408,174.023,0.356,195,1.029,0.972,0.934
196,0.135,0.832,0.361,0.419,0.41,176.429,0.288,196,1.02,0.98,0.932
197,0.136,0.831,0.363,0.419,0.413,165.173,0.316,197,1.013,0.987,0.937
198,0.136,0.828,0.365,0.418,0.415,145.679,0.33,198,1.008,0.992,0.935
199,0.136,0.827,0.365,0.419,0.413,167.123,0.416,199,1.013,0.987,0.943
200,0.136,0.826,0.361,0.42,0.411,156.988,0.358,200,1.024,0.977,0.941
201,0.135,0.824,0.361,0.42,0.409,165.884,0.409,201,1.027,0.974,0.942
202,0.135,0.821,0.361,0.422,0.407,173.123,0.415,202,1.036,0.965,0.942
203,0.135,0.82,0.361,0.423,0.408,168.666,0.35,203,1.037,0.964,0.942
204,0.135,0.82,0.362,0.42,0.411,160.323,0.368,204,1.022,0.979,0.938
205,0.136,0.82,0.364,0.419,0.412,146.711,0.371,205,1.017,0.983,0.942
206,0.136,0.82,0.363,0.419,0.412,148.765,0.384,206,1.017,0.983,0.941
207,0.135,0.821,0.363,0.419,0.411,166.617,0.446,207,1.021,0.979,0.951
208,0.135,0.822,0.363,0.42,0.41,169.842,0.453,208,1.025,0.976,0.95
209,0.135,0.823,0.362,0.421,0.409,174.198,0.43,209,1.03,0.971,0.947
210,0.135,0.824,0.363,0.42,0.411,3.85,0.372,210,1.021,0.979,0.942
211,0.135,0.826,0.363,0.418,0.413,179.917,0.305,211,1.012,0.988,0.933
212,0.136,0.828,0.366,0.417,0.415,36.346,0.347,212,1.006,0.994,0.934
213,0.136,0.827,0.365,0.418,0.415,28.814,0.387,213,1.006,0.994,0.939
214,0.134,0.83,0.362,0.418,0.409,19.534,0.427,214,1.021,0.979,0.941
215,0.134,0.831,0.362,0.42,0.407,8.888,0.444,215,1.032,0.969,0.946
216,0.135,0.832,0.361,0.422,0.407,1.057,0.424,216,1.036,0.965,0.943
217,0.136,0.832,0.362,0.421,0.412,7.143,0.354,217,1.021,0.98,0.935
218,0.136,0.832,0.364,0.419,0.415,15.225,0.313,218,1.011,0.989,0.932
219,0.137,0.832,0.366,0.42,0.415,18.699,0.318,219,1.013,0.987,0.941
220,0.137,0.831,0.366,0.42,0.415,2.037,0.331,220,1.012,0.988,0.939
221,0.136,0.829,0.362,0.422,0.41,178.067,0.422,221,1.03,0.971,0.945
222,0.136,0.827,0.359,0.421,0.41,4.398,0.364,222,1.027,0.974,0.935
223,0.135,0.826,0.359,0.421,0.41,178.852,0.335,223,1.026,0.975,0.933
224,0.135,0.824,0.362,0.418,0.412,169.192,0.335,224,1.012,0.988,0.933
225,0.136,0.822,0.363,0.419,0.415,131.531,0.332,225,1.009,0.991,0.942
226,0.136,0.821,0.363,0.418,0.415,138.168,0.391,226,1.008,0.992,0.94
227,0.136,0.82,0.361,0.418,0.413,173.802,0.401,227,1.011,0.989,0.941
228,0.135,0.819,0.361,0.419,0.411,175.533,0.394,228,1.021,0.98,0.94
229,0.135,0.82,0.36,0.42,0.41,175.092,0.383,229,1.024,0.977,0.941
